Order ID,Order Date,Region,Category,Product Name,Sales,Quantity,Profit,Customer Segment
CA-2023-077,2023-08-21,Central,Furniture,Ottoman,199.00,2,39.80,Corporate
CA-2023-078,2023-08-24,East,Office Supplies,Ruler Metal 12in,6.99,10,2.10,Consumer
CA-2023-079,2023-08-27,West,Technology,Wireless Charger,39.99,6,12.00,Home Office
CA-2023-080,2023-08-30,South,Furniture,Side Table,99.00,3,19.80,Corporate
CA-2023-081,2023-09-02,Central,Technology,Laptop Pro 15,1299.99,2,389.99,Consumer
CA-2023-082,2023-09-05,East,Office Supplies,Pencils (24pk),6.49,12,1.95,Corporate
CA-2023-083,2023-09-08,West,Furniture,Bar Stool (Set of 2),179.00,2,35.80,Consumer
CA-2023-084,2023-09-11,South,Technology,Smart Doorbell,149.99,1,45.00,Home Office
CA-2023-085,2023-09-14,Central,Office Supplies,Whiteboard 36x24in,59.99,1,18.00,Corporate
CA-2023-086,2023-09-17,East,Technology,Projector 1080p,549.00,1,164.70,Consumer
CA-2023-087,2023-09-20,West,Furniture,Accent Chair,329.00,1,65.80,Corporate
CA-2023-088,2023-09-23,South,Office Supplies,Calculator Scientific,29.99,3,9.00,Consumer
CA-2023-089,2023-09-26,Central,Technology,Portable Monitor,299.99,1,90.00,Home Office
CA-2023-090,2023-09-29,East,Furniture,Bench Entryway,149.00,2,29.80,Corporate
CA-2023-091,2023-10-03,West,Technology,Desktop PC,1499.99,1,449.99,Consumer
CA-2023-092,2023-10-06,South,Office Supplies,Sticky Easel Pad,29.99,4,9.00,Corporate
CA-2023-093,2023-10-09,Central,Furniture,Dining Chair Set (4),699.00,1,139.80,Consumer
CA-2023-094,2023-10-12,East,Technology,Smart Light Bulbs (4pk),49.99,5,15.00,Home Office
CA-2023-095,2023-10-15,West,Office Supplies,Binding Machine,89.99,1,27.00,Corporate
CA-2023-096,2023-10-18,South,Technology,Laptop Pro 13,999.99,2,299.99,Consumer
CA-2023-097,2023-10-21,Central,Furniture,Floor Lamp,129.00,3,25.80,Corporate
CA-2023-098,2023-10-24,East,Office Supplies,File Box (6pk),39.99,3,12.00,Consumer
CA-2023-099,2023-10-27,West,Technology,Gaming Headset,129.99,2,39.00,Home Office
CA-2023-100,2023-10-30,South,Furniture,Desk Chair Premium,499.00,1,99.80,Corporate
CA-2023-101,2023-11-03,Central,Technology,Laptop Pro 15,1299.99,3,389.99,Consumer
CA-2023-102,2023-11-06,East,Office Supplies,Presentation Clicker,39.99,2,12.00,Corporate
CA-2023-103,2023-11-09,West,Furniture,Patio Chair (Set of 2),299.00,1,59.80,Consumer
CA-2023-104,2023-11-12,South,Technology,Smart Hub,129.99,2,39.00,Home Office
CA-2023-105,2023-11-15,Central,Office Supplies,Laminator,59.99,1,18.00,Corporate
CA-2023-106,2023-11-18,East,Technology,Monitor 32in Curved,899.00,1,269.70,Consumer
CA-2023-107,2023-11-21,West,Furniture,Bunk Bed,799.00,1,159.80,Corporate
CA-2023-108,2023-11-24,South,Office Supplies,Index Cards (200pk),8.99,10,2.70,Consumer
CA-2023-109,2023-11-27,Central,Technology,Tablet 12in Pro,649.99,2,195.00,Home Office
CA-2023-110,2023-11-30,East,Furniture,Coffee Maker Stand,149.00,2,29.80,Corporate
CA-2023-111,2023-12-04,West,Technology,Laptop Pro 15,1299.99,4,389.99,Consumer
CA-2023-112,2023-12-07,South,Office Supplies,Toner Cartridge Color,89.99,3,27.00,Corporate
CA-2023-113,2023-12-10,Central,Furniture,Sofa 2-Seater,899.00,2,179.80,Consumer
CA-2023-114,2023-12-13,East,Technology,Smart TV 65in,1199.00,1,359.70,Home Office
CA-2023-115,2023-12-16,West,Office Supplies,Pen Holder,14.99,8,4.50,Corporate
CA-2023-116,2023-12-19,South,Technology,Gaming Console,499.99,2,149.99,Consumer
CA-2023-117,2023-12-22,Central,Furniture,Christmas Tree Stand,34.99,5,10.50,Corporate
CA-2023-118,2023-12-25,East,Office Supplies,Gift Wrap Paper,12.99,6,3.90,Consumer
CA-2023-119,2023-12-28,West,Technology,Smart Security Camera,189.99,3,57.00,Home Office
CA-2023-120,2023-12-31,South,Furniture,Storage Ottoman,179.00,2,35.80,Corporate
